Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
Dealing with Bullies and Harassers,3.6,5,0.5,6,Personal Development,Stress Management,Bullying,Vasco Patrício,English,FALSE,0,0,0,1.5,30,No,78.98,22
Newly Updated for 2020/21 - Comprehensive Guide to LinkedIn,4.5,5,0.5,595,Personal Development,Personal Brand Building,LinkedIn,Alastair Banks,English,FALSE,0,0,0,1.5,0,No,104.98,22
Autopilot Bitcoin Systems,4.7,5,0.5,19,Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin Trading,Benjamin Santos,English,FALSE,0,0,0,3,9,No,128.98,22
"Alteryx Masterclass for Data Analytics, ETL and Reporting",4.5,5,0.5,188,Office Productivity,Other Office Productivity,Alteryx,Start-Tech Academy,English,FALSE,0,2,0,6,0,Yes,128.98,22
Learn Live Looping On The RC-3 Loop Station.,4,5,0.5,1,Music,Other Music,Live Looping,Brad Cunningham,English,FALSE,0,0,0,1.5,0,No,34.98,22
"Inbound Marketing: Content Marketing, KPI & Google Analytics",4.7,5,0.5,28,Marketing,Other Marketing,Inbound Marketing,Alex Genadinik,English,FALSE,0,1,0,3.5,5,No,59.98,22
Data Analysis & Visualization: Python | Excel | BI | Tableau,4.4,5,0.5,192,Business,Business Analytics & Intelligence,Data Analysis,Bluelime Learning Solutions,English,FALSE,0,1,0,9.5,31,No,59.98,22
Revit Architecture| Interior Modeling and Rendering,4.5,5,0.5,51,Design,Interior Design,Revit,Talha Hyder,English,FALSE,0,0,0,3,3,No,34.98,22
Reading Music: Intervals,5,5,0.5,4,Music,Music Fundamentals,Reading Music,Jonathan Peters,English,FALSE,0,5,0,1.5,19,No,29.98,22
GASP...Smarter - How to use Google Apps on your Smartphone,0,0,0,0,Office Productivity,Google,Google Office,John-Roy Cloete,English,FALSE,0,0,0,0.616666667,1,No,29.98,22
Monetize your Instagram as an Instagram Influencer in 2021,4.5,5,0.5,1112,Marketing,Social Media Marketing,Instagram Marketing,António Araújo,English,FALSE,0,1,0,2.5,17,No,108.98,22
Premiere Pro Crash Course (2 Hours),0,0,0,0,Photography & Video,Video Design,Adobe Premiere,Alexis J. Estevez,English,FALSE,0,1,0,2,2,No,40.98,22
Introduction to Positive Psychology,5,5,0.5,5,Teaching & Academics,Humanities,Positive Thinking,Jatin Adlakha,English,FALSE,0,0,0,1,0,No,44.98,44.98
Pitch Perfect: Growth Hacker's Guide to PR & Media Coverage,3.8,5,0.5,19,Marketing,Public Relations,Unknown,Steve Young,English,FALSE,0,0,0,2,1,No,29.98,22
Revenue Recognition - IFRS 15 & ASC 606,4.3,5,0.5,873,Finance & Accounting,Accounting & Bookkeeping,IFRS,Raffaelson Academy,English,FALSE,0,0,0,4,6,No,34.98,22
The Ultimate Public Relations Masterclass,4.4,5,0.5,1489,Marketing,Public Relations,Unknown,Heather Baker,English,FALSE,0,0,0,3,3,Yes,40.98,23
Elite Singing Techniques - Phase I,4.7,5,0.5,2762,Music,Vocal,Singing,Eric Arceneaux,English,FALSE,0,1,0,3.5,45,No,108.98,108.98
MySQl complete guide,4,5,0.5,47,Development,Database Design & Development,MySQL,Rajan Singh,English,FALSE,0,0,0,4.5,0,No,59.98,22
1 Corinthians: 16 Life Changing Lessons,5,5,0.5,1,Personal Development,Religion & Spirituality,The Bible,Boomy Tokan,English,FALSE,0,1,0,1.5,1,No,29.98,22
Connect XL & Outlook -Access VBA & Collection Loops Series 7,5,5,0.5,4,Office Productivity,Microsoft,Excel,ajay parmar,English,FALSE,0,0,0,7,5,No,29.98,22
EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,4.6,5,0.5,6673,Office Productivity,Microsoft,Excel,Steve McDonald,English,FALSE,0,6,0,7,24,No,108.98,22
How to get the BEST car deal,4.9,5,0.5,5,Finance & Accounting,Other Finance & Accounting,Car Buying,Jose Rodriguez,English,FALSE,0,0,0,0.583333333,0,No,34.98,22
Certification in Kagi (TA) Charts & Smiling Buddha Strategy,5,5,0.5,76,Finance & Accounting,Finance Cert & Exam Prep,Financial Trading,Saad T. Hameed (STH),English,FALSE,1,3,0,1,0,No,29.98,22
How to Train a Puppy,4.7,5,0.5,351,Lifestyle,Pet Care & Training,Pet Training,Ian Dunbar,English,FALSE,0,1,0,15,0,Yes,128.98,22
QuickBooks (Beginners & Advanced): Fast Track Training,5,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,QuickBooks,Douglas Melvin,English,FALSE,0,0,0,1.5,1,No,78.98,22
Machine Learning & Data Science Bootcamp with  R  & Python,5,5,0.5,1,Development,Data Science,Machine Learning,Academy of Computing & Artificial Intelligence,English,FALSE,0,10,0,5,1,No,29.98,22
Basics of Virtual Reality and Create a Phone App using Unity,0,0,0,0,Teaching & Academics,Online Education,Virtual Reality,Dr. Aditya Gupte,English,FALSE,0,0,0,8,0,No,34.98,22
"Professional Podcast Production, Editing & Blueprint",4.2,5,0.5,525,Business,Media,Podcasting,Ian Robinson,English,FALSE,0,0,0,4,14,Yes,44.98,22
Houdini 18 - Procedural Prop Modeling - Chinese Knife,4.9,5,0.5,19,Development,Game Development,Houdini Software,Indie - Pixel,English,FALSE,0,0,0,4.5,1,No,29.98,22
Kick basics in muay thai martial art of Thailand,0,0,0,0,Health & Fitness,Self Defense,Muay Thai,Chanuphon Yodsamai,English,FALSE,0,0,0,1,0,No,128.98,22
"Marketing Strategy - Principles, Strategy, Practice",4.4,5,0.5,5,Marketing,Marketing Fundamentals,Marketing Strategy,Mark Meyerson,English,FALSE,0,0,0,4.5,0,No,128.98,22
2021 Video Marketing & Advertising Via Effective YouTube Ads,4.4,5,0.5,88,Marketing,Advertising,YouTube Marketing,Alex Genadinik,English,FALSE,0,2,0,3.5,13,No,78.98,23
Ultimate Beginner’s Guide to Photography Entrepreneurship,4.6,5,0.5,66,Photography & Video,Commercial Photography,Entrepreneurship Fundamentals,Eric Kim,English,FALSE,0,1,0,5,4,No,128.98,22
Advertising Strategy For Online And Offline Business,5,5,0.5,1,Marketing,Advertising,Advertising Strategy,Eric Yeboah,English,FALSE,0,0,0,1,0,No,108.98,22
Digital Audio Fundamentals,4.7,5,0.5,21,Music,Music Fundamentals,Digital Audio,Akash Murthy,English,FALSE,0,0,0,3,0,No,29.98,22
Confidence: How to build a robust self-confidence for sport,5,5,0.5,1,Health & Fitness,Sports,Confidence,Roberto Forzoni,English,FALSE,0,8,0,1,27,No,29.98,22
Level 3 Teacher Training Diploma Stability & Balance,0,0,0,0,Health & Fitness,Fitness,Teacher Training,Zayra Mo,English,FALSE,0,7,0,6,2,No,128.98,22
Dropshipping with Shopify | Selling Online Worldwide,4.9,5,0.5,40,Business,E-Commerce,Shopify Dropshipping,Khalid Hussain,English,FALSE,0,2,0,6,0,No,44.98,22
Photography - Become a Better Photographer - Part II,4.8,5,0.5,466,Photography & Video,Digital Photography,Photography,Bernie Raffe AMPA,English,FALSE,0,1,0,4.5,0,No,44.98,22
How to Improve Your Marriage in 40 Days: A Course for Men,5,5,0.5,1,Personal Development,Parenting & Relationships,Marriage,Charles David Hanna,English,FALSE,0,0,0,1.5,1,No,29.98,22
How to Buy Your First Rental House,4.8,5,0.5,55,Business,Real Estate,Real Estate Investing,Dennis Fassett,English,FALSE,0,0,0,12,0,No,40.98,40.98
The Western Art of Frederic Remington,5,5,0.5,1,Teaching & Academics,Humanities,Art History,Federico von Borstel,English,FALSE,0,0,0,2,0,No,128.98,22
U.S. Residential Mortgage Business,4.3,5,0.5,1662,Business,Real Estate,Mortgage,Starweaver Team,English,FALSE,0,0,0,7.5,25,No,34.98,23
Exhale Stress Inhale Zen,4.5,5,0.5,1,Personal Development,Personal Transformation,Mindfulness,Mary Ann Stancel,English,FALSE,0,0,0,1.5,14,No,34.98,22
Techniques to Cope With & Reduce Stress,5,5,0.5,1,Health & Fitness,Mental Health,Stress Management,Alan Eisenberg,English,FALSE,0,2,0,1,1,No,40.98,22
Public Relations for Small Businesses and Entrepreneurs,0,0,0,0,Marketing,Public Relations,Unknown,Dominique Fields,English,FALSE,0,0,0,1,10,No,59.98,22
Martial Arts Dim Mak,4.3,5,0.5,61,Health & Fitness,Self Defense,Martial Arts,Paul Brecher,English,FALSE,0,35,0,0.716666667,0,No,34.98,24
Content Marketing,4.3,5,0.5,153,Marketing,Content Marketing,Unknown,Steven Matt,English,FALSE,0,0,0,0.533333333,1,No,29.98,22
Talking to Your Employees About Stress at Work,4.7,5,0.5,10,Business,Communication,Stress Management,Deborah Grayson Riegel,English,FALSE,0,0,0,1.5,21,No,108.98,108.98
Audition for Voice Over Jobs Like a Pro,5,5,0.5,2,Business,Entrepreneurship,Voice-Over,Trevor O'Hare,English,FALSE,0,0,0,0.55,0,No,68.98,22
Lean Six Sigma - Yellow Belt Course with Certification,4.8,5,0.5,3,Business,Operations,Lean Six Sigma Yellow Belt,Dean Westbrook,English,FALSE,0,0,0,3.5,15,No,29.98,22
Facebook Group Marketing Mastery 2021,4,5,0.5,15,Marketing,Social Media Marketing,Facebook Groups,Henry Zhang,English,FALSE,0,0,0,0.566666667,0,No,108.98,22
30-Day Marketer PRO Training Course (Digital Marketing),5,5,0.5,1,Marketing,Social Media Marketing,Unknown,Denzel Beauchamp,English,FALSE,0,0,0,7.5,8,No,40.98,22
Selenium WebDriver Masterclass with C#,4.3,5,0.5,8536,IT & Software,Other IT & Software,Selenium WebDriver,Nikolay Advolodkin,English,FALSE,0,83,0,28.5,12,Yes,138.98,22
Illustrator 2021 MasterClass,4.6,5,0.5,29345,Design,Graphic Design & Illustration,Adobe Illustrator,Martin Perhiniak,English,TRUE,0,2,0,13,8,No,128.98,22
Copywriting for Beginners Part 2 of 3: Headlines & Openers,4.4,5,0.5,104,Marketing,Advertising,Copywriting,Alan Sharpe,English,FALSE,0,0,0,1,0,No,59.98,22
Diploma in Information System Audit (DISA)- ICAI,4.2,5,0.5,5,IT & Software,Network & Security,Information Security,Hemang Doshi,English,FALSE,5,0,0,0,0,No,29.98,29.98
